_id,title,url,pub_date,price,area
ObjectId(585b8bbb2514971b044baea5),【4图】戴尔14寸笔记本1500元(99新)-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2472356046x.htm,12-19,1500,"["" 北京"",""宣武"",""广安门""]"
ObjectId(585b8bbc2514971a24fafb38),【2图】北京无线电话优惠中 无线座机 电信无线商话送货中-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2452073656x.htm,11-29,350,"["" 北京"",""丰台"",""青塔""]"
ObjectId(585b8bbc2514972b6c5cf36b),【15图】迎元旦大降价W540W530W520W510全系列诚信经营-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466840844x.htm,12-09,4288,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbc2514971b044baea6),【4图】Thinkpad X220联想12寸IBM超薄便携笔记本电脑-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2472620859x.htm,12-19,1249,"["" 北京"",""朝阳"",""国贸""]"
ObjectId(585b8bbc2514972708f213dd),【2图】北京无线固话长市话7分 无线电话 电信无线座机靓号办理-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466263127x.htm,12-14,350,"["" 北京"",""延庆"",""延庆""]"
ObjectId(585b8bbc2514971a24fafb39),【2图】电信无线固话 天翼无线电话 无线座机靓号送货-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2452067089x.htm,11-29,350,"["" 北京"",""丰台"",""五里店""]"
ObjectId(585b8bbc2514972b6c5cf36c),【15图】迎元旦大降价原装正品15年老店诚信经营苹果PRO+AIR小白-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2458688199x.htm,12-09,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbd2514971a24fafb3a),【转延庆一般纳税人商贸公司】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2445209094x.htm,11-30,12,"["" 北京"",""海淀""]"
ObjectId(585b8bbd2514972b6c5cf36d),【15图】迎元旦大降价全系列IBMT440T430T420T410-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2466832903x.htm,12-09,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bbd2514971b044baea7),【6图】macbookair 苹果11寸笔记本-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2563654730x.htm,12-19,3000,"["" 北京"",""昌平"",""沙河镇""]"
